seed,params,train_time,n_f,rmse,nmse,mae,max_err,pde_residual,forward_time_ms,model
0,3234,3.705691337585449,32,0.007233205956686406,0.0011023560635404915,0.00588695405074499,0.01711668626801066,0.0005534461233764887,1.1723518371582031,Classical Fourier Large
1,3234,3.6264073848724365,32,0.00796031762390429,0.0013351222280173116,0.006655395618808177,0.020084167561718658,0.0010534352622926235,0.0,Classical Fourier Large
2,3234,3.658493757247925,32,0.011804234377169737,0.0029358636424208356,0.008986503178446913,0.03233296309608377,0.0014180559664964676,0.600123405456543,Classical Fourier Large
3,3234,3.6670076847076416,32,0.004824117916759677,0.0004903385769632407,0.003902946888777374,0.014165900285706245,0.0003425835457164794,0.3397703170776367,Classical Fourier Large
4,3234,3.569589853286743,32,0.008397556890119827,0.0014858198023294546,0.006639793555299398,0.025651881608473426,0.000464544486021623,0.9344816207885742,Classical Fourier Large
0,270,58.46857237815857,32,0.01111282250795451,0.00260201016351174,0.008082305318263459,0.0335836031231167,0.00014367264520842582,14.562773704528809,MerLin Full
1,270,57.87777376174927,32,0.013397332641586374,0.003781785687543448,0.010353978058783889,0.0286917451583642,0.0006005030008964241,14.592504501342773,MerLin Full
2,270,57.889527320861816,32,0.017346155708988842,0.00633967090170203,0.013032516620730097,0.04601173588444557,0.0004454668378457427,14.419007301330566,MerLin Full
3,270,53.95027017593384,32,0.011703316949404885,0.002885879321269902,0.008422340318737703,0.0336235609147254,0.0002186327037634328,8.237314224243164,MerLin Full
4,270,38.354119300842285,32,0.018719146124345436,0.0073829903653147965,0.013823925345400546,0.05016978729037541,0.0006531726103276014,8.652400970458984,MerLin Full
0,3234,2.6162755489349365,64,0.005644392493944732,0.0006712659900503612,0.004515746678621162,0.01768917220767041,0.0005105246091261506,0.279998779296875,Classical Fourier Large
1,3234,2.3427748680114746,64,0.006379444941885183,0.0008574839895817171,0.004816078929575533,0.020081129028127698,0.0004711486108135432,0.39234161376953125,Classical Fourier Large
2,3234,2.6475086212158203,64,0.011812542392441963,0.0029399977154430483,0.009322957137581824,0.02891545468207271,0.0009916928829625249,0.6686925888061523,Classical Fourier Large
3,3234,3.80387020111084,64,0.005701221561926276,0.0006848509628225082,0.004481231875371733,0.015192872850942007,0.00019871853874064982,0.9070873260498047,Classical Fourier Large
4,3234,3.8095510005950928,64,0.008097474745134784,0.0013815271911552947,0.005997713993311426,0.02655062247493778,0.0005680559552274644,0.40130615234375,Classical Fourier Large
0,270,57.717207193374634,64,0.009471676320399833,0.0018902268564047078,0.006861333265131395,0.03021678190767607,0.00010369668598286808,13.718748092651367,MerLin Full
1,270,61.31375241279602,64,0.009782281867707729,0.0020162323456440635,0.007539330156257942,0.027760695326768392,0.0002258012245874852,13.177132606506348,MerLin Full
2,270,61.413445234298706,64,0.020463015140023768,0.008822658797313207,0.015325036751585938,0.05294216262837198,0.0005680461181327701,13.631796836853027,MerLin Full
3,270,60.45940089225769,64,0.012950388394521256,0.0035336686193203175,0.009194704357001371,0.037688223218145356,0.0001948153367266059,14.255261421203613,MerLin Full
4,270,58.2822208404541,64,0.013134179165752397,0.0036346793642955157,0.009850906491138428,0.03512047853342576,0.00017758658214006573,13.724827766418457,MerLin Full
0,3234,3.748487710952759,128,0.005205106674895966,0.0005708467091013917,0.004034020407207514,0.017526220467900866,0.0002005711430683732,0.20110607147216797,Classical Fourier Large
1,3234,3.6845951080322266,128,0.00473155972841271,0.0004717032692263486,0.003627618251029783,0.01374644460014851,0.00016590974701102823,0.8241176605224609,Classical Fourier Large
2,3234,3.7598655223846436,128,0.010083551891802076,0.002142334629388966,0.007548963498740372,0.026508002161734656,0.0007186892908066511,0.0,Classical Fourier Large
3,3234,3.6340739727020264,128,0.0051495114085829425,0.0005587175097839545,0.004019332707070533,0.014317838530032712,0.00020862335804849863,0.40154457092285156,Classical Fourier Large
4,3234,3.6958985328674316,128,0.006124540926937166,0.0007903279025979953,0.004738769631326174,0.017394970740505833,0.00028759727138094604,0.4383087158203125,Classical Fourier Large
0,270,62.12252116203308,128,0.007466086801273879,0.0011744818297529697,0.005891467173889145,0.022486629831560023,0.0001419125619577244,12.882137298583984,MerLin Full
1,270,62.18165707588196,128,0.015608385325870323,0.005133058203380018,0.011349509239056402,0.04601121364244387,0.0005033247289247811,14.124488830566406,MerLin Full
2,270,62.31740713119507,128,0.01113960179014453,0.002614565735333932,0.008811918230758067,0.03049917999889251,0.0004067857516929507,13.139581680297852,MerLin Full
3,270,62.23814868927002,128,0.01077227747202888,0.0024449799136438627,0.0073606606473730725,0.0339363110112188,0.0001477638870710507,12.956571578979492,MerLin Full
4,270,62.34742569923401,128,0.013806939132595196,0.004016567346959796,0.01026979903663661,0.03937863544946085,0.00012522461474873126,13.541579246520996,MerLin Full
0,3234,4.072401285171509,256,0.0050747382753047335,0.0005426096715639659,0.00398780267455289,0.014816627319204911,0.00019258115207776427,0.5965471267700195,Classical Fourier Large
1,3234,3.97465181350708,256,0.004789562407721762,0.0004833390739553905,0.0038771773039403996,0.012270499641416965,0.00016704532026778907,0.5198955535888672,Classical Fourier Large
2,3234,4.002125978469849,256,0.008004373707149149,0.001349941492290724,0.006134923324107822,0.022515259086681866,0.000434412359027192,0.7187128067016602,Classical Fourier Large
3,3234,3.993459939956665,256,0.005418825781696721,0.0006186864571927779,0.004026135751314288,0.016465469582091996,0.00019145738042425364,0.7037878036499023,Classical Fourier Large
4,3234,3.9649176597595215,256,0.006727538624444636,0.0009536140309330201,0.0052712980307565846,0.021377039997582947,0.00022934046864975244,0.5997419357299805,Classical Fourier Large
0,270,67.6971743106842,256,0.011782504666559702,0.0029250646788168463,0.008655995673855289,0.03511475714789425,0.00017911300528794527,15.572810173034668,MerLin Full
1,270,67.4596107006073,256,0.014845531262648464,0.004643567046346069,0.010428355060408227,0.044230793100680565,0.00045688252430409193,13.765573501586914,MerLin Full
2,270,66.77971482276917,256,0.020496215009338497,0.008851310365168067,0.015025839917890273,0.05582034505101924,0.000554217491298914,13.429689407348633,MerLin Full
3,270,66.92419290542603,256,0.010760042476630005,0.0024394291227458936,0.0075421560202675415,0.03298855149401858,0.00017193889652844518,13.154745101928711,MerLin Full
4,270,66.44417452812195,256,0.01458565741961173,0.004482416936989747,0.009990867100165527,0.0451439307266458,0.00014199092402122915,13.44749927520752,MerLin Full
